unit,carriage,c_unload,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 
MIO_TKM,TOT,EU27_2007,PT	6816 	7725 	7684 	8363 	7121 	8608 	9815 	9291 	10200 	9561 	8967 	9196 	12060 	11403 	10035 	9292 	5423 	6029 	5834 	5517 	5166 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2007,RO	10755 	9864 	8595 	7640 	7136 	6946 	6940 	6478 	6083 	6295 	6096 	16785 	19224 	18891 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2007,SE	576 	836 	867 	692 	844 	722 	572 	746 	758 	714 	591 	939 	1001 	1045 	1021 	1222 	1501 	1534 	1203 	1238 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2007,SI	5062 	5265 	4720 	4238 	4228 	3833 	3614 	3788 	3724 	3760 	3226 	3811 	3370 	3236 	2792 	2270 	1737 	1614 	1873 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2007,SK	8118 	8379 	7996 	8044 	7575 	6485 	7178 	6517 	7176 	6585 	6505 	6476 	6881 	5502 	6130 	5040 	4913 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2007,UK	3013 	3190 	2881 	2830 	3246 	3652 	3614 	3879 	3960 	4079 	3666 	4330 	4945 	4976 	4652 	5086 	6030 	6076 	6358 	7309 	8020 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,AT	3465 	3444 	3595 	3626 	3787 	3907 	3745 	4376 	5371 	5403 	5835 	7386 	8205 	8581 	8478 	9406 	9321 	9041 	8792 	7952 	7509 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,BE	6162 	5918 	6456 	6471 	6712 	5866 	6331 	6660 	7186 	8038 	8772 	9378 	10373 	10718 	10849 	12129 	13351 	13940 	15193 	14126 	9692 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,BG	2856 	3742 	4295 	4803 	5684 	5038 	5015 	3803 	4296 	3951 	3422 	3064 	3819 	3148 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,CH	490 	409 	470 	548 	632 	656 	774 	1014 	1293 	1102 	1035 	1500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,CY	10 	9 	9 	6 	4 	3 	4 	4 	4 	6 	4 	3 	4 	4 	4 	5 	11 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,CZ	6220 	7213 	9285 	10888 	13542 	12794 	12849 	11708 	12361 	11772 	10455 	11631 	10899 	12001 	10372 	12015 	11968 	11665 	10883 	10524 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,DE	16177 	17586 	17882 	18872 	19374 	19593 	20493 	22451 	24685 	25247 	26525 	31495 	34177 	32252 	30299 	30366 	26967 	25164 	25567 	23153 	21979 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,DK	1430 	1436 	1245 	1178 	968 	1111 	1300 	1467 	1459 	1636 	2568 	3465 	3537 	3885 	5055 	5268 	4932 	4899 	4817 	5661 	5828 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,EE	749 	1151 	1181 	1042 	1267 	1191 	991 	998 	1060 	1087 	1103 	1695 	1395 	1196 	1335 	1612 	984 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,EL	6033 	6909 	6178 	2147 	2255 	1869 	1644 	1943 	1750 	2177 	1991 	2051 	2952 	3403 	1650 	2298 	1827 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,ES	39016 	37051 	35768 	33718 	34070 	32054 	31284 	31510 	31108 	29485 	28273 	31321 	30789 	30459 	29437 	30183 	24660 	24960 	21760 	19381 	17027 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,FI	757 	980 	600 	877 	895 	1091 	1022 	1342 	1179 	1673 	1268 	1052 	1541 	1693 	1409 	1844 	1490 	1338 	1440 	1622 	1584 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,FR	4496 	4743 	4876 	4947 	5181 	5941 	6617 	6406 	7290 	7488 	7208 	9736 	11195 	11838 	11426 	14048 	14222 	14489 	16261 	17241 	19844 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,HR	2562 	2628 	2292 	2179 	1933 	1745 	1496 	1369 	1451 	1367 	1420 	1376 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,HU	7466 	7120 	7771 	7434 	6988 	6890 	6803 	6878 	6959 	6636 	7150 	7465 	7679 	6716 	5315 	3685 	3107 	2966 	3136 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,IE	314 	300 	378 	396 	327 	356 	358 	477 	415 	543 	748 	878 	1151 	627 	792 	898 	739 	700 	534 	525 	401 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,IT	6884 	5618 	5262 	5366 	5612 	7088 	7148 	5244 	6088 	11156 	9010 	11835 	11335 	13095 	16878 	15723 	12785 	13645 	13297 	11603 	11201 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,LI	: 	: 	: 	: 	: 	: 	21 	24 	23 	30 	26 	33 	36 	36 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,LT	5381 	4710 	4708 	4174 	3738 	4497 	4401 	4200 	3976 	3396 	2975 	3127 	3124 	3375 	2908 	2543 	2571 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,LU	983 	972 	1056 	1152 	1032 	1346 	1211 	1224 	1237 	1127 	1021 	1244 	1394 	1292 	1226 	1313 	1285 	1220 	1084 	847 	784 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,LV	2757 	2663 	2604 	2864 	3013 	2753 	2543 	2630 	2808 	2108 	1616 	2488 	2723 	2340 	1505 	1662 	1394 	1371 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,NL	14639 	15277 	14811 	14520 	15357 	16420 	16471 	17232 	18948 	19175 	17882 	19810 	20433 	21930 	21456 	22845 	20638 	19630 	20162 	20488 	21957 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,NO	1003 	1290 	1526 	1353 	1407 	1388 	1668 	1772 	1689 	1782 	1710 	2097 	1984 	2111 	1421 	1484 	1497 	1338 	1385 	1507 	1614 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,PL	66292 	56608 	60816 	52817 	45213 	43474 	43735 	39838 	36099 	34678 	29896 	27267 	25533 	21231 	16508 	16600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,PT	6316 	7344 	7060 	7603 	6605 	8314 	9412 	8921 	9777 	9320 	8694 	8805 	11367 	10925 	9306 	8824 	5000 	5688 	5506 	5061 	4774 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,RO	10561 	9508 	8310 	7170 	6684 	6559 	6615 	6197 	5716 	5771 	5690 	15575 	18086 	18336 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,SE	576 	836 	885 	704 	871 	729 	568 	741 	735 	714 	589 	939 	1000 	1053 	1014 	1238 	1483 	1521 	1208 	1237 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,SI	5088 	5215 	4687 	4157 	4115 	3753 	3458 	3723 	3614 	3675 	3138 	3630 	3191 	3038 	2732 	2213 	1792 	1672 	1788 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,SK	7780 	7994 	7663 	7587 	7351 	6255 	6768 	6320 	6699 	6393 	6256 	6146 	6619 	5311 	6028 	4840 	4821 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU27_2020,UK	3013 	3192 	2906 	2830 	3246 	3652 	3619 	3889 	3961 	4079 	3666 	4330 	4945 	4976 	4652 	5086 	6030 	6076 	6358 	7322 	8026 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,AT	3534 	3515 	3630 	3684 	3865 	3966 	3815 	4444 	5448 	5491 	5925 	7613 	8509 	8880 	8841 	9841 	9759 	9422 	9233 	8258 	7742 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,BE	6321 	6084 	6693 	6677 	6835 	6008 	6541 	6823 	7362 	8287 	9022 	9718 	10801 	11161 	11319 	12684 	13896 	14528 	15593 	14507 	9937 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,BG	2901 	3775 	4635 	5096 	5879 	5291 	5035 	3803 	4436 	4025 	3804 	3112 	3841 	3222 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,CH	510 	512 	470 	549 	632 	656 	824 	1016 	1308 	1215 	1065 	1572 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,CY	20 	19 	17 	12 	8 	6 	8 	8 	5 	9 	6 	4 	7 	9 	8 	8 	15 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,CZ	6358 	7385 	9640 	11366 	14256 	13769 	13642 	12310 	13080 	12438 	11168 	12364 	11766 	12831 	11134 	13003 	13144 	12796 	11532 	11173 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,DE	16888 	18317 	18596 	19784 	20129 	20524 	21416 	23532 	25838 	26515 	27861 	33206 	35975 	33960 	32071 	32185 	28638 	26376 	26783 	24098 	22634 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,DK	1496 	1450 	1255 	1197 	1006 	1127 	1311 	1488 	1469 	1661 	2640 	3576 	3662 	4078 	5289 	5500 	5065 	5085 	5038 	5850 	5972 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,EE	749 	1162 	1198 	1042 	1296 	1191 	1011 	1044 	1062 	1126 	1134 	1764 	1446 	1222 	1359 	1612 	1025 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,EL	6322 	7154 	6370 	2252 	2463 	1983 	1805 	2070 	1800 	2233 	2136 	2186 	3101 	3793 	1795 	2407 	1923 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,ES	43069 	42073 	39784 	37527 	37775 	35580 	34721 	34970 	33641 	32000 	31267 	35435 	35069 	34940 	33436 	33706 	27564 	28517 	24789 	22095 	19075 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,FI	757 	980 	600 	877 	895 	1091 	1022 	1342 	1179 	1676 	1272 	1080 	1550 	1699 	1413 	1854 	1498 	1352 	1443 	1623 	1584 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,FR	4762 	5006 	5156 	5243 	5457 	6363 	7078 	6914 	7967 	8236 	8022 	11400 	13072 	13706 	13349 	16193 	16126 	16678 	18588 	19412 	21809 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,HR	2620 	2673 	2343 	2226 	1975 	1763 	1569 	1416 	1510 	1443 	1451 	1439 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,HU	7754 	7404 	8126 	7820 	7428 	7251 	7223 	7301 	7384 	6953 	7678 	8079 	8166 	7248 	5758 	4067 	3485 	3267 	3376 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,IE	936 	813 	968 	1054 	833 	830 	812 	1062 	1036 	1110 	1445 	1725 	1949 	1310 	1508 	1678 	1505 	1332 	1073 	1136 	820 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,IT	7192 	5807 	5581 	5741 	5903 	7241 	7397 	5486 	6430 	12049 	9613 	12629 	12342 	14239 	19134 	18001 	14408 	15335 	15071 	12546 	12045 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,LI	: 	: 	: 	: 	: 	: 	21 	24 	23 	30 	26 	33 	36 	36 	36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,LT	5688 	4954 	5052 	4451 	3981 	4796 	4641 	4376 	4074 	3527 	3084 	3307 	3342 	3590 	3037 	2665 	2679 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,LU	990 	979 	1059 	1157 	1043 	1357 	1226 	1237 	1271 	1163 	1045 	1278 	1423 	1334 	1268 	1353 	1340 	1266 	1137 	887 	831 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,LV	2761 	2683 	2651 	2893 	3051 	2775 	2561 	2671 	2814 	2132 	1637 	2504 	2726 	2355 	1517 	1679 	1394 	1371 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,NL	15497 	16168 	15774 	15578 	16584 	17583 	17420 	18360 	20089 	20159 	18952 	21253 	21874 	23458 	23084 	24261 	21448 	20613 	21089 	21386 	22799 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,NO	1003 	1290 	1556 	1412 	1407 	1388 	1668 	1772 	1689 	1794 	1740 	2097 	1991 	2122 	1421 	1485 	1506 	1341 	1400 	1530 	1638 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,PL	71165 	61783 	65717 	57645 	49229 	47345 	47307 	43891 	39117 	37911 	32492 	29478 	27597 	22954 	17887 	17977 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,PT	6816 	7725 	7699 	8363 	7121 	8608 	9815 	9291 	10200 	9561 	8967 	9196 	12060 	11403 	10035 	9309 	5423 	6029 	5834 	5517 	5166 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,RO	10801 	9926 	8647 	7664 	7169 	6966 	6944 	6486 	6092 	6295 	6104 	16797 	19265 	18891 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,SE	576 	836 	889 	704 	871 	729 	572 	746 	758 	715 	595 	941 	1002 	1059 	1036 	1245 	1506 	1539 	1217 	1240 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,SI	5225 	5392 	4822 	4350 	4326 	3910 	3683 	3867 	3813 	3861 	3316 	3928 	3492 	3340 	2911 	2361 	1885 	1771 	1994 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,SK	8148 	8433 	8016 	8064 	7629 	6507 	7188 	6554 	7176 	6601 	6531 	6496 	6923 	5508 	6162 	5069 	4943 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EU28,UK	3013 	3192 	2906 	2830 	3246 	3652 	3619 	3889 	3961 	4079 	3666 	4330 	4945 	4976 	4652 	5086 	6030 	6076 	6358 	7322 	8026 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EUR_OTH,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	72 	63 	57 	51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EUR_OTH,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	149 	124 	28 	42 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,TOT,EUR_OTH,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,TOT,EUR_OTH,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,TOT,EUR_OTH,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	94 	80 	55 	53 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
MIO_TKM,TOT,EUR_OTH,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13 	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EUR_OTH,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9 	0 	: 	1 	13 	6 	9 	19 	28 	25 	22 	7 	27 	32 	20 	41 	0 
MIO_TKM,TOT,EUR_OTH,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4 	4 	: 	: 
MIO_TKM,TOT,EUR_OTH,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	0 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EUR_OTH,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	14 	8 	98 	: 	3 	1 	: 	: 	: 
MIO_TKM,TOT,EUR_OTH,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EUR_OTH,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EUR_OTH,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32 	5 	: 	15 	7 	: 	: 	: 	13 	47 	0 	0 	18 	16 	27 	19 
MIO_TKM,TOT,EXT_EU15,AT	: 	: 	: 	: 	: 	: 	: 	667 	723 	705 	694 	840 	912 	917 	776 	898 	869 	911 	842 	800 	774 	306 	312 	293 	350 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EXT_EU15,BE	: 	: 	: 	: 	: 	: 	: 	74 	115 	134 	137 	134 	173 	156 	200 	221 	314 	344 	335 	266 	235 	175 	166 	182 	30 	98 	79 	114 	325 	345 	298 	280 	275 	0 	177 	269 	0 	0 
MIO_TKM,TOT,EXT_EU15,BG	: 	: 	: 	: 	: 	: 	: 	1611 	1623 	1086 	1209 	1098 	1123 	1582 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EXT_EU15,CH	: 	: 	: 	: 	: 	: 	: 	73 	55 	27 	65 	45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EXT_EU15,CY	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	1 	2 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EXT_EU15,CZ	: 	: 	: 	: 	: 	: 	: 	2626 	2710 	2465 	2130 	2641 	2562 	2863 	2131 	2779 	3057 	2441 	2295 	2195 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EXT_EU15,DE	: 	: 	: 	: 	: 	: 	: 	3997 	4634 	4171 	3845 	4719 	4692 	4386 	4281 	3973 	3758 	3410 	3186 	3362 	3145 	3153 	3140 	2551 	3049 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,TOT,EXT_EU15,DK	: 	: 	: 	: 	: 	: 	: 	432 	367 	403 	844 	756 	787 	803 	933 	809 	726 	673 	596 	723 	674 	655 	618 	522 	634 	675 	623 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,TOT,EXT_EU15,EE	: 	: 	: 	: 	: 	: 	: 	892 	904 	876 	596 	1076 	970 	868 	851 	754 	714 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EXT_EU15,EL	: 	: 	: 	: 	: 	: 	: 	263 	398 	344 	245 	167 	545 	234 	194 	245 	270 	: 	: 	: 	: 	514 	639 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,TOT,EXT_EU15,ES	: 	: 	: 	: 	: 	: 	: 	1772 	1311 	1286 	1649 	1358 	989 	1169 	1011 	1104 	916 	966 	799 	699 	548 	833 	576 	829 	431 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
MIO_TKM,TOT,EXT_EU15,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3340 	2475 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EXT_EU15,FI	: 	: 	: 	: 	: 	: 	: 	687 	517 	831 	782 	821 	689 	783 	636 	861 	792 	792 	623 	646 	620 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,TOT,EXT_EU15,FR	: 	: 	: 	: 	: 	: 	: 	604 	575 	588 	485 	632 	593 	588 	612 	770 	750 	867 	794 	986 	1045 	6384 	0 	1173 	1250 	1133 	1037 	894 	800 	827 	721 	520 	428 	435 	534 	501 	397 	0 
