unit,carriage,c_load,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 
MIO_TKM,HIRE,BA,SK	: 	1 	: 	: 	: 	: 	: 	: 	4 	6 	2 	: 	: 	: 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BA,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BE,AT	72 	53 	79 	101 	74 	106 	80 	98 	100 	130 	151 	229 	278 	329 	288 	339 	367 	350 	309 	278 	280 	43 	37 	33 	42 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BE,BG	43 	67 	405 	138 	416 	33 	9 	100 	61 	: 	44 	10 	30 	22 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BE,CH	25 	12 	46 	36 	99 	72 	28 	200 	39 	89 	96 	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BE,CY	: 	: 	0 	: 	: 	: 	0 	: 	0 	: 	: 	: 	: 	: 	0 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BE,CZ	314 	246 	479 	562 	649 	776 	701 	551 	569 	741 	561 	821 	731 	679 	555 	685 	726 	736 	571 	582 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BE,DE	1922 	2089 	2086 	2283 	2304 	2375 	2454 	2480 	2967 	2921 	3008 	3480 	3614 	3337 	3095 	2906 	2466 	2605 	2667 	2157 	2231 	1845 	1737 	1255 	1 	1649 	1306 	1312 	1383 	1351 	1345 	1344 	1191 	1169 	1053 	992 	989 	927 
MIO_TKM,HIRE,BE,DK	: 	2 	1 	8 	16 	10 	30 	25 	44 	37 	82 	102 	106 	156 	160 	202 	207 	169 	224 	216 	200 	225 	234 	227 	264 	291 	217 	194 	182 	164 	148 	144 	150 	145 	124 	120 	123 	108 
MIO_TKM,HIRE,BE,EE	39 	10 	20 	18 	54 	56 	15 	42 	13 	16 	34 	40 	58 	26 	85 	56 	16 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,HIRE,BE,EL	185 	226 	151 	27 	119 	57 	38 	135 	44 	75 	93 	76 	147 	23 	88 	44 	56 	: 	: 	: 	: 	: 	3 	1 	3 	3 	14 	49 	57 	61 	101 	90 	55 	56 	78 	89 	99 	78 
MIO_TKM,HIRE,BE,ES	2453 	2606 	1898 	2034 	1784 	1406 	1823 	1910 	2033 	2144 	2032 	2245 	2950 	2653 	2090 	2099 	1637 	1697 	1673 	1098 	1132 	1227 	1000 	787 	744 	835 	346 	573 	669 	144 	76 	484 	358 	348 	: 	: 	: 	: 
MIO_TKM,HIRE,BE,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8664 	: 	: 	6553 	7050 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
