,unit,carriage,destination,origin,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
2171,MIO_TKM,OWN,IT,LI,,,,,,,0.0,0.0,0.0,
2172,MIO_TKM,OWN,IT,LT,38.0,,22.0,,15.0,12.0,35.0,,,
2173,MIO_TKM,OWN,IT,LU,3.0,5.0,6.0,5.0,5.0,12.0,1.0,4.0,3.0,5.0
2174,MIO_TKM,OWN,IT,LV,,,,,,,,,,
2175,MIO_TKM,OWN,IT,NL,24.0,31.0,24.0,51.0,45.0,83.0,54.0,39.0,58.0,32.0
2176,MIO_TKM,OWN,IT,NO,,,,,37.0,,,7.0,,
2177,MIO_TKM,OWN,IT,PL,70.0,136.0,130.0,66.0,35.0,69.0,177.0,169.0,71.0,128.0
2178,MIO_TKM,OWN,IT,PT,5.0,9.0,12.0,3.0,1.0,22.0,,92.0,16.0,31.0
2179,MIO_TKM,OWN,IT,RO,256.0,174.0,223.0,157.0,143.0,153.0,170.0,198.0,251.0,200.0
2180,MIO_TKM,OWN,IT,SE,6.0,16.0,,,,2.0,,,,14.0
2181,MIO_TKM,OWN,IT,SI,109.0,108.0,146.0,132.0,124.0,82.0,92.0,84.0,79.0,36.0
2182,MIO_TKM,OWN,IT,SK,8.0,5.0,9.0,22.0,15.0,10.0,15.0,,,34.0
2183,MIO_TKM,OWN,IT,UK,2.0,29.0,6.0,12.0,17.0,15.0,14.0,17.0,17.0,
2184,MIO_TKM,OWN,KZ,CZ,,,,,,,11.0,,50.0,
2185,MIO_TKM,OWN,KZ,DE,,,,,,,,,,
2186,MIO_TKM,OWN,KZ,LT,,,,33.0,38.0,10.0,,,,
2187,MIO_TKM,OWN,LI,AT,4.0,5.0,2.0,3.0,2.0,4.0,1.0,2.0,6.0,2.0
2188,MIO_TKM,OWN,LI,CH,9.0,5.0,3.0,11.0,4.0,9.0,3.0,3.0,6.0,12.0
2189,MIO_TKM,OWN,LI,DE,0.0,4.0,,,3.0,,0.0,0.0,2.0,2.0
2190,MIO_TKM,OWN,LI,NL,,,,2.0,,4.0,,,,
2191,MIO_TKM,OWN,LI,PL,,15.0,,,,,,,,
2192,MIO_TKM,OWN,LT,CZ,,,,,15.0,,,2.0,,4.0
2193,MIO_TKM,OWN,LT,DE,,,,,,,,,,
2194,MIO_TKM,OWN,LT,EE,5.0,5.0,,16.0,2.0,3.0,2.0,,4.0,9.0
2195,MIO_TKM,OWN,LT,LV,13.0,37.0,35.0,17.0,20.0,19.0,30.0,53.0,66.0,18.0
2196,MIO_TKM,OWN,LT,NL,8.0,,,,,,0.0,,,
2197,MIO_TKM,OWN,LT,PL,104.0,41.0,54.0,43.0,56.0,62.0,92.0,98.0,99.0,59.0
2198,MIO_TKM,OWN,LT,RO,,,,,,4.0,4.0,,,
2199,MIO_TKM,OWN,LT,SI,,,,,,,,5.0,,
2200,MIO_TKM,OWN,LT,UK,,,,,,,,,,
2201,MIO_TKM,OWN,LU,AT,,,,,8.0,,3.0,,,
2202,MIO_TKM,OWN,LU,BE,41.0,49.0,62.0,23.0,29.0,32.0,24.0,32.0,50.0,53.0
2203,MIO_TKM,OWN,LU,CH,,,0.0,,,,,7.0,,
2204,MIO_TKM,OWN,LU,CZ,,,,,,,,,,
2205,MIO_TKM,OWN,LU,DE,46.0,62.0,69.0,67.0,87.0,85.0,64.0,85.0,72.0,55.0
2206,MIO_TKM,OWN,LU,DK,,,,,,,,,,
2207,MIO_TKM,OWN,LU,ES,,,,,,,,,,
2208,MIO_TKM,OWN,LU,EU15,,,,,,,,,,
2209,MIO_TKM,OWN,LU,FR,20.0,38.0,27.0,63.0,73.0,20.0,21.0,15.0,29.0,30.0
2210,MIO_TKM,OWN,LU,HR,,,,,,,,1.0,,
2211,MIO_TKM,OWN,LU,HU,,1.0,,2.0,,5.0,,,,
2212,MIO_TKM,OWN,LU,IE,,,,,1.0,,,,,
2213,MIO_TKM,OWN,LU,IT,,,,,,,,,,
2214,MIO_TKM,OWN,LU,LU,,,,,,,,,,
2215,MIO_TKM,OWN,LU,NL,4.0,11.0,6.0,0.0,9.0,10.0,5.0,0.0,13.0,6.0
2216,MIO_TKM,OWN,LU,PL,,12.0,,,,,3.0,,,1.0
2217,MIO_TKM,OWN,LU,PT,,,5.0,5.0,5.0,6.0,,,,
2218,MIO_TKM,OWN,LU,RO,,,,,,,,,9.0,
2219,MIO_TKM,OWN,LU,SE,,,,,,,,,,
2220,MIO_TKM,OWN,LU,SI,,,,,,,,,1.0,
2221,MIO_TKM,OWN,LU,UK,4.0,0.0,0.0,0.0,14.0,35.0,38.0,3.0,,
2222,MIO_TKM,OWN,LV,BE,,,,,,,,2.0,,
2223,MIO_TKM,OWN,LV,CZ,,,,,,,,,,
2224,MIO_TKM,OWN,LV,DE,,,,,,,,,8.0,
2225,MIO_TKM,OWN,LV,EE,3.0,0.0,5.0,15.0,5.0,1.0,5.0,0.0,5.0,6.0
2226,MIO_TKM,OWN,LV,HU,2.0,,,,,,,,,
2227,MIO_TKM,OWN,LV,LT,65.0,84.0,52.0,51.0,57.0,59.0,51.0,22.0,19.0,36.0
2228,MIO_TKM,OWN,LV,LU,1.0,,,,,,,,,
2229,MIO_TKM,OWN,LV,PL,66.0,41.0,17.0,7.0,40.0,10.0,22.0,3.0,6.0,24.0
2230,MIO_TKM,OWN,LV,RO,,,,,2.0,,,,,
2231,MIO_TKM,OWN,LV,SE,,,,1.0,,,,,,
2232,MIO_TKM,OWN,LV,SI,,,,,,,,7.0,,
2233,MIO_TKM,OWN,LV,SK,,,,,,,,,,
2234,MIO_TKM,OWN,MA,ES,,,,,,,8.0,,,10.0
2235,MIO_TKM,OWN,MA,FR,,,,,,,,,26.0,
2236,MIO_TKM,OWN,MA,NL,,,,,,,,,,
2237,MIO_TKM,OWN,MA,PT,,,,,5.0,,,,,
2238,MIO_TKM,OWN,MA,UK,,,,,,,,,,
