aid,view,danmaku,reply,favorite,coin,share,now_rank,his_rank,like
655,4913,256,20,38,5,3,0,0,0
656,7185,68,12,53,15,8,0,0,0
657,2923,2,11,10,2,6,0,0,0
659,1127,9,20,10,5,4,0,0,0
660,32199,4402,111,693,40,7,0,0,2
661,38522,592,231,1407,123,64,0,0,75
662,91531,2038,673,5082,401,375,0,0,283
663,5867,176,19,36,17,7,0,0,1
664,8603,341,65,169,17,8,0,0,2
665,7534,310,40,86,10,6,0,0,3
666,294188,11628,4215,5025,423,463,0,0,674
667,6991,421,54,167,25,14,0,0,13
668,187773,586,152,1061,50,27,0,117,12
669,2157,3,20,10,7,5,0,0,1
670,2114,113,33,26,4,7,0,0,1
671,2530,126,19,11,4,2,0,0,0
672,1550,30,15,30,7,4,0,0,2
674,877,1,10,8,4,6,0,0,0
675,7589,112,19,64,7,9,0,0,1
676,2998,159,15,18,5,3,0,0,0
680,2680,106,28,46,6,5,0,0,0
681,2116,19,14,8,4,5,0,0,0
685,5903,150,9,14,174,3,0,0,0
686,10568,20,33,19,54,10,0,0,1
687,7597,36,13,21,174,4,0,0,0
688,11128,13,28,24,33,4,0,0,2
690,17940,2680,94,129,5,2,0,0,4
693,8878,691,46,56,7,5,0,697,1
694,1596,29,11,11,4,4,0,0,0
695,4191,98,18,59,5,9,0,0,2
696,3259,112,37,107,17,2,0,0,3
697,13354,443,74,71,27,13,0,0,5
698,7363,19,11,22,23,5,0,0,0
699,3091,83,41,67,27,11,0,0,4
700,3069,25,65,32,6,5,0,0,2
704,4289,98,38,60,7,6,0,0,1
705,26653,340,1020,544,227,90,0,0,489
706,2254381,49802,46776,141232,26009,13755,0,88,5522
707,2335,217,26,17,5,3,0,0,2
709,4798,13,36,32,12,4,0,0,3
712,1514,14,36,22,4,10,0,0,1
715,2561,33,60,39,7,6,0,0,1
718,12688,130,42,73,26,6,0,0,0
719,2026,302,29,17,4,6,0,0,2
720,15426,471,81,123,4,9,0,0,2
721,3218,49,47,31,6,5,0,0,4
723,2805,39,26,28,11,8,0,0,0
725,6462,448,32,49,5,10,0,0,3
726,7866,60,32,66,7,7,0,0,0
727,4151,43,15,8,17,3,0,0,0
728,3703,182,42,12,15,10,0,0,1
729,5954,14,44,15,37,8,0,0,2
730,3606,54,15,9,2,3,0,0,0
731,42902,2918,170,1378,66,30,0,0,18
732,610,451,68,85,13,8,0,0,3
734,3490,70,9,25,6,9,0,0,0
736,2194,56,18,31,8,6,0,0,3
738,16644,88,129,729,78,48,0,0,11
739,1137,2,7,6,3,7,0,0,0
740,3543,42,22,8,2,4,0,0,1
742,5590,375,27,26,2,6,0,0,2
743,1298,0,7,5,2,5,0,0,0
744,2156,3,14,10,2,6,0,0,0
746,189,2,12,9,3,5,0,0,0
748,8192,77,80,39,4,10,0,0,2
749,1818,46,13,7,5,3,0,0,0
751,49699,1594,113,438,22,15,0,0,5
753,3890,71,25,6,2,5,0,0,2
754,1460,108,12,9,2,5,0,0,0
756,1849,72,12,6,3,4,0,0,0
757,1468,15,14,9,5,7,0,0,0
758,865,19,28,58,8,9,0,0,1
760,17849,635,45,472,13,5,0,0,3
761,33324,4428,105,148,5,2,0,98,2
762,1807,32,14,22,3,5,0,0,1
763,1663,12,10,9,2,8,0,0,0
764,2037,40,16,44,3,7,0,0,0
765,2227,70,13,7,3,3,0,0,1
766,11944,327,43,221,17,8,0,0,3
767,-1,81,22,58,4,2,0,0,1
769,3184,73,18,9,4,6,0,0,1
772,1231,9,9,9,3,5,0,0,1
774,1798,96,26,28,5,5,0,0,0
775,1805,57,19,11,2,7,0,0,2
776,23629,603,71,544,33,21,0,0,7
778,392089,9189,1628,1321,323,246,0,0,9
780,3100,49,25,21,5,5,0,0,2
781,40292,1231,93,350,41,22,0,510,4
782,12182,55,14,150,21,14,0,0,1
783,301123,8559,669,3410,284,292,0,68,41
784,105455,13348,407,3593,290,42,0,0,51
786,412,121,9,23,3,6,0,0,1
788,20872,586,175,225,24,9,0,0,9
790,4143,43,30,42,4,8,0,0,3
791,2901,58,11,9,4,3,0,0,0
792,3937,28,18,10,1,12,0,0,0
793,2883,748,28,11,2,3,0,0,0
796,1680,63,13,5,2,7,0,0,0
798,1752,2,11,5,2,3,0,0,1
799,80362,2661,266,4254,456,93,0,170,80
800,3477,185,52,22,4,6,0,0,1
801,3889,81,70,22,4,5,0,0,1
802,1208,194,16,5,2,4,0,0,0
803,5478,65,62,28,3,7,0,0,1
804,3727,86,36,79,10,9,0,0,3
805,1481,92,18,4,2,4,0,0,0
806,932,6,13,3,2,3,0,0,0
807,1705,42,15,3,3,4,0,0,0
811,1819,94,30,5,2,8,0,0,0
812,2182,18,35,7,3,3,0,0,0
814,2075,12,19,14,10,5,0,0,1
815,4422,72,22,15,21,1,0,0,1
816,558792,18496,3694,13693,2836,792,0,30,612
817,5695,256,299,83,9,11,0,0,12
819,2424,12,36,12,18,2,0,0,0
820,15496,50,45,22,15,5,0,0,0
821,11095,900,68,146,26,8,0,0,2
822,1730,65,24,27,2,5,0,0,1
823,1443,21,30,14,5,7,0,0,0
824,1339,8,25,15,4,5,0,0,0
825,7828,462,51,35,3,5,0,0,1
829,5345,227,38,25,8,3,0,0,0
831,2908,57,55,22,5,1,0,0,4
832,2590,77,35,13,2,4,0,0,1
833,1198,12,14,5,1,3,0,0,1
834,11730,39,17,25,1,7,0,0,0
836,16200,202,49,14,361,5,0,0,0
837,3024,37,10,20,1,3,0,0,0
838,1388,39,7,16,2,3,0,0,0
839,3368,9,8,6,2,5,0,0,0
840,4210,162,26,54,1,6,0,0,0
841,903,11,8,8,3,3,0,0,0
842,94945,990,307,2136,348,221,0,717,1
843,4560,22,9,19,21,4,0,0,0
847,1531,22,25,26,4,3,0,0,3
848,80536,6248,597,2820,202,92,0,0,20
849,2944,301,54,80,12,8,0,0,5
850,2353,94,12,71,3,5,0,0,1
851,958,20,7,3,2,1,0,0,0
852,2652,8,29,11,4,5,0,0,0
853,385942,12789,2293,12996,1905,873,0,68,124
854,5330,73,16,22,4,6,0,0,1
855,2358,8,8,4,9,5,0,0,2
856,6914,48,13,12,7,4,0,0,2
857,3600,13,6,4,47,2,0,0,0
858,2955,64,11,8,26,6,0,0,0
859,2509,21,8,32,3,3,0,0,0
860,9380,327,28,43,7,9,0,0,0
865,1348,13,12,9,3,5,0,0,0
866,9261,301,33,131,20,5,0,0,0
867,3093,27,23,46,31,13,0,0,1
868,4566,109,10,4,15,3,0,0,0
870,97704,12514,247,2654,87,27,0,0,14
874,-1,68,12,8,21,4,0,0,0
876,3018,112,25,113,9,14,0,0,3
878,249559,10378,284,1102,114,83,0,15,10
880,996,18,10,9,2,3,0,0,0
881,6875,284,31,64,3,3,0,0,2
882,1438,41,13,3,1,5,0,0,0
883,7925,297,30,55,9,7,0,0,2
884,1380,7,28,14,4,9,0,0,1
885,1230,21,16,33,2,5,0,0,2
886,2857,51,87,28,5,6,0,0,1
888,32560,465,227,346,24,28,0,0,28
890,1581,20,17,16,2,8,0,0,1
891,2309,96,21,35,2,7,0,0,0
892,970,15,17,9,2,5,0,0,0
893,48095,2030,460,1217,135,49,0,0,29
894,4906,2,31,9,1,8,0,0,0
896,4122,38,29,24,1,7,0,0,1
897,81104,3405,704,3074,559,71,0,0,138
898,2520,28,12,22,4,8,0,0,1
899,7362,208,37,108,13,9,0,0,2
900,5173,41,34,16,11,7,0,0,0
901,20262,44,192,65,179,8,0,875,31
904,4406,197,18,10,2,0,0,0,0
905,2145,52,19,6,3,4,0,0,1
908,1299,19,23,4,2,4,0,0,1
909,19748,9,13,43,4,1,0,0,3
911,41512,344,320,193,22,13,0,0,27
912,4597,76,62,20,3,6,0,0,6
916,2607,25,26,12,7,1,0,0,2
917,4477,561,12,7,3,3,0,0,1
918,10502,874,106,39,10,5,0,0,15
921,1750,18,37,7,4,4,0,0,2
922,5397,38,26,37,3,7,0,0,1
923,4358,532,26,13,1,2,0,0,1
925,4199,17,47,88,5,11,0,0,4
926,3815,52,31,46,3,4,0,0,3
928,1530,4,33,17,2,4,0,0,0
968,40778,1672,366,1138,355,72,0,0,103
971,-1,41,46,41,41,8,0,0,8
972,3420,41,16,13,25,7,0,0,0
973,2360,26,12,5,25,5,0,0,1
974,3069,119,30,11,3,1,0,0,1
975,9731,148,50,99,13,6,0,0,3
976,1909,42,9,8,1,6,0,0,1
977,4868,50,14,65,20,10,0,0,4
978,2365,28,9,11,5,4,0,0,1
979,2706,104,18,5,6,6,0,0,1
980,5100,246,53,28,6,4,0,0,5
981,1694,6,27,9,6,3,0,0,1
982,1607,40,21,6,12,1,0,0,1
983,1937,98,24,19,5,4,0,0,1
984,13398,17,8,33,4,5,0,0,1
986,5442,156,29,58,13,6,0,0,0
989,16243,46,63,73,7,12,0,0,5
990,2519,27,41,14,4,6,0,0,2
991,6318,174,62,61,6,4,0,0,0
992,3052,45,23,50,10,5,0,0,6
993,3223,21,31,8,3,9,0,0,0
995,13615,153,72,364,50,22,0,0,8
996,1126,76,12,1,2,7,0,0,0
999,35993,772,397,307,39,7,0,0,38
1001,8974,71,129,31,7,9,0,0,3
1002,46104,2587,168,2329,160,141,0,0,71
1013,58703,1340,214,771,101,81,0,0,32
1015,3054,111,42,35,13,3,0,0,1
1016,4146,83,47,29,5,5,0,0,0
1017,2038,83,45,30,3,6,0,0,2
1018,1622,18,39,10,29,8,0,0,4
1019,2036,81,40,58,5,11,0,0,4
1020,7344,41,22,21,2,7,0,0,2
1022,4614,34,46,55,4,4,0,0,1
1023,1590,9,18,11,7,2,0,0,0
1025,2558,82,99,39,4,6,0,0,8
1026,13913,149,47,204,12,38,0,0,1
1027,2980,13,27,16,3,2,0,0,0
1028,4728,91,42,31,5,5,0,0,0
1029,17318,447,89,124,16,21,0,0,2
1030,26969,545,81,447,12,27,0,0,12
1031,4597,2,29,46,3,0,0,0,0
1032,1548,43,15,32,1,8,0,0,2
1033,7126,9,22,34,1,4,0,0,5
1034,13747,633,49,177,18,11,0,0,2
1035,142954,24696,267,1548,64,8,0,375,11
1036,5210,122,53,167,17,14,0,0,3
1037,1660,9,7,19,2,4,0,0,0
1038,6715,51,54,24,6,8,0,0,3
1039,3006,29,15,4,14,3,0,0,0
1040,7367,46,179,91,25,9,0,0,13
1041,12668,876,73,138,23,17,0,0,1
1042,8106,55,30,77,6,6,0,0,5
1045,3205,0,16,7,1,3,0,0,0
1046,5144,49,18,44,4,9,0,0,1
1048,7500,31,21,18,3,3,0,0,0
1050,-1,957,147,455,17,10,0,537,3
1055,3135,47,14,76,10,15,0,0,0
1057,5054,151,40,9,17,5,0,0,0
1058,3312,31,7,10,1,3,0,0,0
1059,46317,2895,83,174,9,8,0,283,5
1060,10114,22,19,75,5,9,0,0,1
1061,125673,4883,132,1037,32,4,0,0,5
1063,2237,153,18,16,4,7,0,0,0
1064,8321,428,93,22,61,3,0,0,1
1066,3935,4,24,8,6,5,0,0,0
1072,4326,8,22,17,45,8,0,0,3
1076,79567,2117,262,1720,324,191,0,128,44
1078,3531,3,8,7,9,4,0,0,0
1079,857,5,9,2,2,4,0,0,0
1080,35821,106,83,36,10,3,0,0,11
1082,36491,3851,60,766,48,24,0,0,1
1083,1862,32,9,43,14,5,0,0,2
1084,6155,50,28,47,4,7,0,0,4
1085,2222,27,22,11,4,2,0,0,1
1086,2791,226,41,41,3,5,0,0,1
1090,11954,26,46,233,17,3,0,0,4
1091,780,97,11,2,5,2,0,0,0
1092,7302,37,27,23,4,8,0,0,2
1094,3686,59,12,64,5,6,0,0,2
1095,2325,31,22,17,3,6,0,0,0
1096,8833,94,41,71,19,5,0,0,0
1098,70615,3523,64,1455,112,28,0,0,30
1099,9772,1139,70,187,7,5,0,0,1
1101,14238,36,32,100,8,14,0,0,0
1102,6049,79,49,216,6,12,0,0,1
1103,2242,40,20,28,1,7,0,0,0
1104,2249,92,31,8,2,2,0,0,1
1105,1908,27,14,11,2,6,0,0,1
1106,2992,1,26,6,3,5,0,0,0
1107,5955,209,71,24,2,4,0,0,1
1108,5630,164,45,45,5,1,0,0,1
1109,3214,22,31,81,16,6,0,0,1
1111,25121,178,413,216,35,102,0,0,30
1112,1713,20,40,8,7,5,0,0,0
1113,19775,0,454,112,21,4,0,0,74
1114,2052,21,26,15,6,12,0,0,3
1119,4862,114,63,214,29,10,0,0,1
1120,1562,12,23,5,1,2,0,0,2
1121,68486,1391,254,1902,107,58,0,0,36
1122,16005,38,122,64,15,27,0,0,14
1123,2054,7,35,19,4,7,0,0,2
1125,1381,11,45,3,1,5,0,0,0
1126,11933,85,102,95,10,11,0,591,10
1127,38297,365,242,2595,245,100,0,0,92
1128,-1,1218,292,1308,81,61,0,0,22
1131,1304,25,12,16,3,8,0,0,2
1132,1158,36,8,14,1,1,0,0,0
1133,18026,1280,124,126,8,11,0,0,3
1134,23951,1072,234,144,26,29,0,0,19
1135,66433,3129,259,302,15,17,0,313,0
1136,-1,24,9,5,0,3,0,0,0
1137,1581,11,5,3,2,4,0,0,0
1139,3319,22,4,29,7,10,0,0,0
1141,1408,14,5,12,5,7,0,0,0
1143,1398,34,27,4,2,1,0,0,0
1144,2071,28,15,44,3,9,0,0,2
1145,3189,80,33,28,2,4,0,0,2
1146,4145,341,69,34,4,4,0,0,0
1148,3106,2,27,44,9,4,0,0,2
1152,11783,85,28,218,21,6,0,0,4
1153,15501,677,81,702,32,60,0,0,22
1154,1239,14,3,2,1,3,0,0,1
1155,2006,6,6,5,1,3,0,0,0
1156,2028,6,4,3,1,3,0,0,0
1159,35604,125,148,30,13,6,0,0,5
1160,4884,224,9,14,2,2,0,0,0
1161,1301,56,9,1,2,6,0,0,0
1162,-1,602,36,363,31,6,0,0,2
1164,871,0,8,2,6,7,0,0,0
1166,2847,26,42,13,9,8,0,0,4
1167,-1,96,46,18,6,7,0,0,4
1168,1426,9,19,19,5,3,0,0,3
1169,3609,82,26,21,3,3,0,0,0
1170,6757,102,9,35,6,6,0,0,1
1172,6260,1027,36,12,1,7,0,0,0
1173,3703,231,23,12,1,2,0,0,0
1175,2735,188,25,5,2,4,0,0,0
1176,3708,270,31,35,4,6,0,0,0
