freq,unit,tra_meas,rep_airp,partner\TIME_PERIOD	2019-Q4 
Q,T,FRM_BRD,LT_EYSA,EU28	0 
Q,T,FRM_BRD,LT_EYVI,EU28	4413 
Q,T,FRM_BRD,LU_ELLX,EU28	27408 
Q,T,FRM_BRD,LV_EVRA,EU28	4106 
Q,T,FRM_BRD,ME_LYPG,EU28	27 
Q,T,FRM_BRD,ME_LYTV,EU28	0 
Q,T,FRM_BRD,MK_LWSK,EU28	428 
Q,T,FRM_BRD,MT_LMML,EU28	1449 
Q,T,FRM_BRD,NL_EHAM,EU28	26373 
Q,T,FRM_BRD,NL_EHBK,EU28	293 
Q,T,FRM_BRD,NL_EHEH,EU28	0 
Q,T,FRM_BRD,NL_EHGG,EU28	0 
Q,T,FRM_BRD,NL_EHRD,EU28	0 
Q,T,FRM_BRD,NO_ENAL,EU28	196 
Q,T,FRM_BRD,NO_ENAT,EU28	0 
Q,T,FRM_BRD,NO_ENBO,EU28	0 
Q,T,FRM_BRD,NO_ENBR,EU28	21 
Q,T,FRM_BRD,NO_ENCN,EU28	219 
Q,T,FRM_BRD,NO_ENDU,EU28	0 
Q,T,FRM_BRD,NO_ENEV,EU28	0 
Q,T,FRM_BRD,NO_ENGM,EU28	12635 
Q,T,FRM_BRD,NO_ENHD,EU28	3 
Q,T,FRM_BRD,NO_ENKB,EU28	0 
Q,T,FRM_BRD,NO_ENKR,EU28	0 
Q,T,FRM_BRD,NO_ENML,EU28	0 
Q,T,FRM_BRD,NO_ENSB,EU28	0 
Q,T,FRM_BRD,NO_ENTC,EU28	1 
Q,T,FRM_BRD,NO_ENTO,EU28	0 
Q,T,FRM_BRD,NO_ENVA,EU28	0 
Q,T,FRM_BRD,NO_ENZV,EU28	1607 
Q,T,FRM_BRD,PL_EPBY,EU28	0 
Q,T,FRM_BRD,PL_EPGD,EU28	1760 
Q,T,FRM_BRD,PL_EPKK,EU28	0 
Q,T,FRM_BRD,PL_EPKT,EU28	4603 
Q,T,FRM_BRD,PL_EPLB,EU28	0 
Q,T,FRM_BRD,PL_EPLL,EU28	0 
Q,T,FRM_BRD,PL_EPMO,EU28	0 
Q,T,FRM_BRD,PL_EPPO,EU28	645 
Q,T,FRM_BRD,PL_EPRZ,EU28	101 
Q,T,FRM_BRD,PL_EPSC,EU28	5 
Q,T,FRM_BRD,PL_EPWA,EU28	11069 
Q,T,FRM_BRD,PL_EPWR,EU28	43 
Q,T,FRM_BRD,PT_LPAZ,EU28	73 
Q,T,FRM_BRD,PT_LPBG,EU28	0 
Q,T,FRM_BRD,PT_LPBJ,EU28	0 
Q,T,FRM_BRD,PT_LPCR,EU28	25 
Q,T,FRM_BRD,PT_LPCS,EU28	0 
Q,T,FRM_BRD,PT_LPFL,EU28	85 
Q,T,FRM_BRD,PT_LPFR,EU28	21 
Q,T,FRM_BRD,PT_LPGR,EU28	89 
Q,T,FRM_BRD,PT_LPHR,EU28	203 
Q,T,FRM_BRD,PT_LPLA,EU28	829 
Q,T,FRM_BRD,PT_LPMA,EU28	1550 
Q,T,FRM_BRD,PT_LPPD,EU28	1585 
Q,T,FRM_BRD,PT_LPPI,EU28	109 
Q,T,FRM_BRD,PT_LPPM,EU28	0 
Q,T,FRM_BRD,PT_LPPR,EU28	7792 
Q,T,FRM_BRD,PT_LPPS,EU28	27 
Q,T,FRM_BRD,PT_LPPT,EU28	11165 
Q,T,FRM_BRD,PT_LPSJ,EU28	71 
Q,T,FRM_BRD,PT_LPVZ,EU28	0 
Q,T,FRM_BRD,RO_LRAR,EU28	4 
Q,T,FRM_BRD,RO_LRBC,EU28	0 
Q,T,FRM_BRD,RO_LRBM,EU28	0 
Q,T,FRM_BRD,RO_LRCK,EU28	0 
Q,T,FRM_BRD,RO_LRCL,EU28	923 
Q,T,FRM_BRD,RO_LRCV,EU28	0 
Q,T,FRM_BRD,RO_LRIA,EU28	0 
Q,T,FRM_BRD,RO_LROD,EU28	0 
Q,T,FRM_BRD,RO_LROP,EU28	5761 
Q,T,FRM_BRD,RO_LRSB,EU28	1 
Q,T,FRM_BRD,RO_LRSM,EU28	0 
Q,T,FRM_BRD,RO_LRSV,EU28	0 
Q,T,FRM_BRD,RO_LRTC,EU28	0 
Q,T,FRM_BRD,RO_LRTM,EU28	0 
Q,T,FRM_BRD,RO_LRTR,EU28	1365 
Q,T,FRM_BRD,RS_LYBE,EU28	2132 
Q,T,FRM_BRD,RS_LYNI,EU28	0 
Q,T,FRM_BRD,SE_ESDF,EU28	2 
Q,T,FRM_BRD,SE_ESGG,EU28	4706 
Q,T,FRM_BRD,SE_ESGJ,EU28	605 
Q,T,FRM_BRD,SE_ESKN,EU28	7 
Q,T,FRM_BRD,SE_ESMQ,EU28	0 
Q,T,FRM_BRD,SE_ESMS,EU28	5611 
Q,T,FRM_BRD,SE_ESMX,EU28	0 
Q,T,FRM_BRD,SE_ESNN,EU28	14 
Q,T,FRM_BRD,SE_ESNQ,EU28	109 
Q,T,FRM_BRD,SE_ESNS,EU28	16 
Q,T,FRM_BRD,SE_ESNU,EU28	610 
Q,T,FRM_BRD,SE_ESNZ,EU28	38 
Q,T,FRM_BRD,SE_ESOE,EU28	2010 
Q,T,FRM_BRD,SE_ESPA,EU28	278 
Q,T,FRM_BRD,SE_ESSA,EU28	12422 
Q,T,FRM_BRD,SE_ESSB,EU28	44 
Q,T,FRM_BRD,SE_ESSL,EU28	0 
Q,T,FRM_BRD,SE_ESSV,EU28	226 
Q,T,FRM_BRD,SE_ESTA,EU28	0 
Q,T,FRM_BRD,SI_LJLJ,EU28	2250 
Q,T,FRM_BRD,SK_LZIB,EU28	5213 
Q,T,FRM_BRD,SK_LZKZ,EU28	7 
Q,T,FRM_BRD,TR_LTAC,EU28	0 
Q,T,FRM_BRD,TR_LTAF,EU28	0 
Q,T,FRM_BRD,TR_LTAI,EU28	0 
Q,T,FRM_BRD,TR_LTAJ,EU28	0 
Q,T,FRM_BRD,TR_LTAN,EU28	0 
Q,T,FRM_BRD,TR_LTAS,EU28	0 
Q,T,FRM_BRD,TR_LTAT,EU28	0 
Q,T,FRM_BRD,TR_LTAU,EU28	0 
Q,T,FRM_BRD,TR_LTAZ,EU28	0 
Q,T,FRM_BRD,TR_LTBA,EU28	0 
Q,T,FRM_BRD,TR_LTBJ,EU28	0 
Q,T,FRM_BRD,TR_LTBR,EU28	0 
Q,T,FRM_BRD,TR_LTBS,EU28	0 
Q,T,FRM_BRD,TR_LTBU,EU28	0 
Q,T,FRM_BRD,TR_LTBY,EU28	0 
Q,T,FRM_BRD,TR_LTBZ,EU28	0 
Q,T,FRM_BRD,TR_LTCA,EU28	0 
Q,T,FRM_BRD,TR_LTCB,EU28	0 
Q,T,FRM_BRD,TR_LTCC,EU28	0 
Q,T,FRM_BRD,TR_LTCE,EU28	0 
Q,T,FRM_BRD,TR_LTCG,EU28	0 
Q,T,FRM_BRD,TR_LTFE,EU28	0 
Q,T,FRM_BRD,TR_LTFG,EU28	0 
Q,T,FRM_BRD,TR_LTFH,EU28	0 
