direct,unit,rep_mar\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
IN,THS_T,DE_3DEDON	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEDTM	: 	: 	: 	1 	1 	: 	2 	0 	: 	: 	: 	11 	7 	3 	2 	1 	5 	13 	10 	14 	: 	: 	: 
IN,THS_T,DE_3DEDUI	: 	: 	142 	433 	202 	268 	343 	318 	307 	536 	1072 	496 	513 	280 	322 	322 	309 	644 	706 	824 	: 	: 	: 
IN,THS_T,DE_3DEDUS	: 	: 	5 	33 	16 	32 	36 	9 	21 	27 	6 	16 	36 	30 	37 	42 	48 	52 	73 	74 	: 	: 	: 
IN,THS_T,DE_3DEESU	: 	: 	3 	9 	1 	5 	4 	1 	5 	4 	15 	: 	0 	: 	1 	4 	5 	22 	24 	18 	: 	: 	: 
IN,THS_T,DE_3DEFRA	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEGDO	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEGEK	: 	: 	: 	: 	: 	: 	: 	3 	: 	: 	: 	1 	: 	: 	: 	0 	2 	1 	: 	0 	: 	: 	: 
IN,THS_T,DE_3DEHAU	: 	: 	: 	1 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEHIL	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEIBB	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEKRE	: 	: 	40 	40 	39 	51 	62 	54 	72 	40 	35 	41 	42 	36 	74 	44 	37 	48 	36 	34 	: 	: 	: 
IN,THS_T,DE_3DELIG	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DELLS	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DELUE	: 	: 	4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEMAG	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEMEP	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEMID	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEMUH	: 	: 	: 	: 	34 	8 	5 	1 	2 	2 	: 	4 	3 	8 	5 	8 	10 	16 	16 	18 	: 	: 	: 
IN,THS_T,DE_3DENSS	: 	: 	7 	44 	29 	19 	11 	19 	35 	18 	12 	63 	85 	93 	138 	178 	133 	128 	108 	69 	: 	: 	: 
IN,THS_T,DE_3DEORS	: 	: 	: 	: 	: 	1 	6 	10 	: 	0 	2 	1 	4 	10 	: 	10 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEPEI	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	2 	1 	9 	23 	7 	: 	4 	5 	12 	14 	: 	: 	: 
IN,THS_T,DE_3DEPYK	: 	: 	6 	6 	: 	4 	: 	2 	: 	2 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEREC	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DERHB	: 	: 	: 	: 	: 	: 	: 	: 	9 	: 	19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DERSA	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DESAR	: 	: 	1 	2 	4 	4 	: 	3 	3 	: 	5 	: 	2 	1 	: 	2 	9 	1 	: 	1 	: 	: 	: 
IN,THS_T,DE_3DEUEL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	2 	8 	9 	7 	7 	11 	10 	: 	: 	: 
IN,THS_T,DE_3DEVIW	99 	83 	100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEVNA	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
IN,THS_T,DE_3DEWES	: 	: 	1 	: 	: 	: 	: 	1 	2 	1 	3 	: 	1 	0 	: 	: 	1 	1 	: 	: 	: 	: 	: 
IN,THS_T,DE_9	0 	: 	28 	184 	271 	408 	303 	395 	445 	493 	821 	271 	261 	345 	258 	156 	76 	70 	79 	62 	5 	2 	41 
IN,THS_T,DE_9DE888	0 	: 	28 	184 	271 	408 	303 	395 	445 	493 	821 	271 	261 	345 	258 	156 	76 	70 	79 	62 	5 	2 	41 
IN,THS_T,DK	56090 	57053 	54650 	56345 	54627 	52993 	51331 	49712 	52631 	47772 	50516 	60749 	60828 	59682 	53545 	54568 	56908 	50418 	51678 	52876 	54429 	59153 	71644 
IN,THS_T,DK_0DK888	158 	161 	163 	173 	0 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	0 	4 	3 	3 
IN,THS_T,DK_0DKAAB	1053 	1183 	1061 	969 	1114 	1224 	1197 	817 	1102 	902 	1000 	1222 	1260 	1118 	1047 	888 	909 	916 	836 	947 	908 	944 	1107 
IN,THS_T,DK_0DKAAL	2601 	2338 	2406 	2365 	2125 	1952 	1927 	2068 	2108 	2051 	2095 	2405 	2073 	2400 	2007 	2166 	2084 	2151 	2061 	1819 	1875 	1960 	2130 
IN,THS_T,DK_0DKAAR	5659 	5855 	5585 	5365 	5174 	5238 	5367 	5419 	5803 	5869 	5561 	7780 	7949 	7676 	7252 	6598 	6427 	6127 	6238 	6203 	5107 	4866 	4616 
IN,THS_T,DK_0DKAGH	39 	46 	48 	50 	51 	46 	46 	39 	42 	37 	42 	39 	42 	39 	41 	40 	40 	42 	37 	40 	48 	40 	27 
